Id,Role,Gender,Age,Date of death,Age range,Num victims,Date,Day,Hr,Street Tipe,Street,Croos,Commune,Pos X,Pos Y,Victim,Accused,X coordinate,Y coordinate,Neighborhoods,Weekday
2018-0046,PEATON,MASCULINO,11,2018-05-02,0 -24,1,2018-05-02,2.0,3,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,Commune 9,-58.52927982,-34.63931752,PEATON,AUTO,93950.50587297,98883.37644525,LINIERS - MATADEROS - PARQUE AVELLANEDA,Wednesday
2018-0047,PEATON,MASCULINO,82,2018-05-09,80 -100,1,2018-05-08,8.0,19,AVENIDA,CORRIENTES AV.,DORREGO AV.,Commune 15,-58.44759966,-34.5917024,PEATON,PASAJEROS,101440.29935254,104167.40204334,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Tuesday
2018-0048,PEATON,MASCULINO,57,2018-05-16,41 -60,1,2018-05-09,9.0,10,AVENIDA,RIVADAVIA AV.,PEDERNERA,Commune 7,-58.46411215,-34.62925068,PEATON,PASAJEROS,99925.51296558,100002.14427355,FLORES - PARQUE CHACABUCO,Wednesday
2018-0049,PEATON,FEMENINO,40,2018-05-13,41 -60,1,2018-05-11,11.0,19,CALLE,QUESADA,,Commune 13,-58.4621322,-34.55395823,PEATON,AUTO,100107.118083,108354.57023193,BELGRANO - COLEGIALES - NUÃ‘EZ,Friday
2018-0050,PEATON,FEMENINO,47,2018-05-24,41 -60,1,2018-05-14,14.0,18,AVENIDA,CABILDO AV.,JURAMENTO AV.,Commune 13,-58.45669422,-34.5620361,PEATON,PASAJEROS,100606.16651489,107458.45493347,BELGRANO - COLEGIALES - NUÃ‘EZ,Monday
2018-0051,PEATON,FEMENINO,57,2018-05-15,41 -60,1,2018-05-15,15.0,21,CALLE,CALIFORNIA,"CARBONARI, FRANCISCO, CMTE.",Commune 4,-58.3597716,-34.64341878,PEATON,AUTO,109491.72835084,98425.60443682,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Tuesday
2018-0052,PEATON,MASCULINO,78,2018-05-19,61 -80,1,2018-05-18,18.0,20,AVENIDA,"CARRIL, SALVADOR MARIA DEL AV.",NAZCA,Commune 15,-58.49820145,-34.59070093,PEATON,PASAJEROS,96798.08806617,104278.02817622,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Friday
2018-0053,CONDUCTOR,MASCULINO,43,2018-05-20,41 -60,1,2018-05-20,20.0,2,CALLE,SAN LUIS,AGUERO,Commune 3,-58.4105928,-34.5993918,MOTO,AUTO,104834.84104085,103313.26202067,BALVANERA - SAN CRISTOBAL,Sunday
2018-0054,PEATON,FEMENINO,86,2018-05-25,80 -100,1,2018-05-22,22.0,11,CALLE,LUGONES,,Commune 12,-58.47969138,-34.57121563,PEATON,BICICLETA,98495.84519532,106440.03052817,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Tuesday
2018-0055,CONDUCTOR,MASCULINO,21,2018-05-29,0 -24,1,2018-05-29,29.0,7,AVENIDA,INDEPENDENCIA AV.,JUJUY AV.,Commune 3,-58.40351561,-34.61883916,MOTO,AUTO,105482.77183741,101155.54165898,BALVANERA - SAN CRISTOBAL,Tuesday
2018-0056,PEATON,FEMENINO,69,2018-06-04,61 -80,1,2018-06-02,2.0,13,AVENIDA,RIVADAVIA AV.,,Commune 9,-58.51973844,-34.63918987,PEATON,PASAJEROS,94825.3179608,98898.07278223,LINIERS - MATADEROS - PARQUE AVELLANEDA,Saturday
2018-0057,CONDUCTOR,MASCULINO,33,2018-06-04,25 -40,1,2018-06-03,3.0,3,CALLE,COMBATE DE LOS POZOS,HUMBERTO 1Ñ,Commune 3,-58.39311376,-34.62163006,MOTO,PASAJEROS,106436.50690531,100845.3278553,BALVANERA - SAN CRISTOBAL,Sunday
2018-0058,CONDUCTOR,MASCULINO,26,2018-06-13,25 -40,1,2018-06-03,3.0,6,AVENIDA,CORDOBA AV.,THAMES,Commune 15,-58.43531242,-34.59082159,MOTO,AUTO,102567.54814228,104264.87527568,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Sunday
2018-0059,CONDUCTOR,MASCULINO,54,2018-06-08,41 -60,1,2018-06-08,8.0,6,AVENIDA,"GARAY, JUAN DE AV.",SANCHEZ DE LORIA,Commune 5,-58.41178165,-34.63035454,MOTO,OTRO,104724.05358972,99878.51159963,ALMAGRO - BOEDO,Friday
2018-0060,PEATON,MASCULINO,51,2018-06-08,41 -60,1,2018-06-08,8.0,12,AVENIDA,LAVALLE,"ALEM, LEANDRO N. AV.",Commune 1,-58.370488,-34.60189492,PEATON,PASAJEROS,108513.43549456,103032.95078343,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Friday
2018-0061,CONDUCTOR,MASCULINO,51,2018-06-10,41 -60,1,2018-06-10,10.0,11,CALLE,ESTADOS UNIDOS,PICHINCHA,Commune 3,-58.39883882,-34.61964833,MOTO,MOTO,105911.62147898,101065.51501699,BALVANERA - SAN CRISTOBAL,Sunday
2018-0062,PEATON,MASCULINO,32,2018-06-14,25 -40,1,2018-06-14,14.0,1,CALLE,ROSARIO,BARCO CENTENERA DEL,Commune 6,-58.44110156,-34.62082399,PEATON,CARGAS,102035.73876399,100936.73706899,CABALLITO,Thursday
2018-0063,PEATON,FEMENINO,28,2018-06-17,25 -40,1,2018-06-16,16.0,21,AVENIDA,"ALEM, LEANDRO N. AV.",VIAMONTE,Commune 1,-58.37093138,-34.59952725,PEATON,PASAJEROS,108473.00357935,103295.64162815,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Saturday
2018-0064,CONDUCTOR,MASCULINO,30,2018-06-25,25 -40,1,2018-06-25,25.0,1,AVENIDA,VARELA AV.,PRIMERA JUNTA,Commune 7,-58.45855262,-34.63953253,AUTO,CARGAS,100435.263889,98861.53271694,FLORES - PARQUE CHACABUCO,Monday
2018-0065,CONDUCTOR,MASCULINO,35,2018-06-26,25 -40,1,2018-06-26,26.0,17,CALLE,"PELLEGRINI, CARLOS",JUNCAL,Commune 1,-58.38161909,-34.59283447,MOTO,CARGAS,107493.20906271,104038.93317074,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Tuesday
2018-0066,PEATON,MASCULINO,73,2018-06-28,61 -80,1,2018-06-28,28.0,11,AVENIDA,CORRIENTES AV.,"LACROZE, FEDERICO AV.",Commune 15,-58.45511899,-34.58698157,PEATON,PASAJEROS,100750.52062158,104691.17506829,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Thursday
2018-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,81,2018-07-06,80 -100,1,2018-06-29,29.0,16,AVENIDA,"MONTES DE OCA, MANUEL AV.",FINOCHIETTO ENRIQUE DR.,Commune 4,-58.37724226,-34.62973033,PASAJEROS,AUTO,107891.26340037,99945.61487141,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0068,CONDUCTOR,MASCULINO,21,2018-07-01,0 -24,1,2018-07-01,1.0,9,AVENIDA,CARABOBO AV.,"ALBERDI, JUAN BAUTISTA AV.",Commune 7,-58.45546217,-34.62930339,MOTO,AUTO,100718.69831349,99996.27412808,FLORES - PARQUE CHACABUCO,Sunday
2018-0069,CICLISTA,MASCULINO,20,2018-07-04,0 -24,1,2018-07-04,4.0,21,AVENIDA,CORDOBA AV.,,Commune 2,-58.39897064,-34.59954925,BICICLETA,PASAJEROS,105900.94104333,103295.18325601,RECOLETA,Wednesday
2018-0070,CONDUCTOR,MASCULINO,33,2018-07-07,25 -40,1,2018-07-07,7.0,15,CALLE,ESTADOS UNIDOS,"URQUIZA, GRAL.",Commune 3,-58.40917826,-34.62126274,MOTO,PASAJEROS,104963.31095539,100886.97438212,BALVANERA - SAN CRISTOBAL,Saturday
2018-0071,CONDUCTOR,MASCULINO,0,2018-07-10,0 -24,1,2018-07-10,10.0,17,AVENIDA,MORENO,"HUERGO, ING. AV.",Commune 1,-58.36726348,-34.61099738,MOTO,CARGAS,108808.25931028,102022.90885862,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Tuesday
2018-0072,CONDUCTOR,MASCULINO,27,2018-07-13,25 -40,1,2018-07-11,11.0,13,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,Commune 8,-58.48267426,-34.68454456,MOTO,CARGAS,98224.62123059,93867.977388,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Wednesday
2018-0073,PEATON,FEMENINO,67,2018-07-11,61 -80,1,2018-07-11,11.0,15,AVENIDA,"IRIARTE, GRAL. AV.",,Commune 4,-58.39546165,-34.65168841,PEATON,CARGAS,106218.96559101,97510.98250186,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Wednesday
2018-0074,CONDUCTOR,MASCULINO,25,2018-07-14,25 -40,1,2018-07-14,14.0,6,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,Commune 7,-58.46941984,-34.63376545,AUTO,CARGAS,99438.84176266,99501.28380301,FLORES - PARQUE CHACABUCO,Saturday
2018-0075,PEATON,MASCULINO,23,2018-07-15,0 -24,1,2018-07-15,15.0,7,AVENIDA,DEL LIBERTADOR AV.,ORTIZ DE OCAMPO,Commune 14,-58.40367321,-34.58129246,PEATON,AUTO,105470.75546311,105320.7278565,PALERMO,Sunday
2018-0076,CONDUCTOR,MASCULINO,73,2018-07-16,61 -80,1,2018-07-16,16.0,9,CALLE,"CHAVEZ, JORGE","PAZ, GRAL. AV.",Commune 9,-58.52932872,-34.65014993,AUTO,CARGAS,93946.81673714,97681.68907836,LINIERS - MATADEROS - PARQUE AVELLANEDA,Monday
2018-0077,CONDUCTOR,MASCULINO,58,2018-07-17,41 -60,1,2018-07-16,16.0,23,CALLE,"URQUIZA, GRAL.",ESTADOS UNIDOS,Commune 3,-58.40917826,-34.62126274,AUTO,CARGAS,104963.31095539,100886.97438212,BALVANERA - SAN CRISTOBAL,Monday
2018-0078,PEATON,MASCULINO,27,2018-07-21,25 -40,1,2018-07-21,21.0,6,CALLE,PARAGUAY,SANCHEZ DE BUSTAMANTE,Commune 2,-58.41264127,-34.59473294,PEATON,AUTO,104647.1896347,103830.17880585,RECOLETA,Saturday
2018-0079,PEATON,MASCULINO,0,2018-07-23,0 -24,1,2018-07-23,23.0,7,GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV.",Commune 9,-58.50877521,-34.66977709,PEATON,CARGAS,95832.05571093,95505.41641999,LINIERS - MATADEROS - PARQUE AVELLANEDA,Monday
2018-0080,PEATON,MASCULINO,26,2018-07-25,25 -40,1,2018-07-25,25.0,22,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CARHUE,Commune 9,-58.51232237,-34.6590353,PEATON,AUTO,95506.35959227,96696.89655626,LINIERS - MATADEROS - PARQUE AVELLANEDA,Wednesday
2018-0081,PEATON,MASCULINO,35,2018-07-29,25 -40,1,2018-07-29,29.0,6,AVENIDA,CASTANARES AV.,RIVERA INDARTE AV.,Commune 7,-58.44744156,-34.64567171,PEATON,MULTIPLE,101453.89687005,98180.39027169,FLORES - PARQUE CHACABUCO,Sunday
2018-0082,CONDUCTOR,FEMENINO,17,2018-08-01,0 -24,1,2018-08-01,1.0,15,AVENIDA,LARRAZABAL,"GARZON, EUGENIO, GRAL. AV.",Commune 9,-58.49441273,-34.65869968,MOTO,CARGAS,97148.03881747,96734.79106149,LINIERS - MATADEROS - PARQUE AVELLANEDA,Wednesday
2018-0083,CONDUCTOR,MASCULINO,0,2018-08-02,0 -24,1,2018-08-02,2.0,5,GRAL PAZ,"PAZ, GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Commune 8,-58.47976785,-34.69153196,MOTO,CARGAS,98491.08733048,93092.87943671,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Thursday
2018-0084,PEATON,MASCULINO,45,2018-08-03,41 -60,1,2018-08-03,3.0,7,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.",COCHABAMBA,Commune 1,-58.36523349,-34.62260331,PEATON,CARGAS,108993.20201253,100735.24332429,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Friday
2018-0085,PASAJERO_ACOMPAÑANTE,FEMENINO,22,2018-08-03,0 -24,2,2018-08-03,3.0,18,AVENIDA,ENTRE RIOS AV.,"GARAY, JUAN DE AV.",Commune 3,-58.39118948,-34.62704273,MOTO,PASAJEROS,106612.54991859,100244.75667446,BALVANERA - SAN CRISTOBAL,Friday
2018-0085,CONDUCTOR,MASCULINO,30,2018-08-03,25 -40,2,2018-08-03,3.0,18,AVENIDA,ENTRE RIOS AV.,"GARAY, JUAN DE AV.",Commune 3,-58.39118948,-34.62704273,MOTO,PASAJEROS,106612.54991859,100244.75667446,BALVANERA - SAN CRISTOBAL,Friday
2018-0086,PEATON,MASCULINO,40,2018-08-10,41 -60,1,2018-08-10,10.0,21,AVENIDA,DIRECTORIO AV.,GUARDIA NACIONAL,Commune 9,-58.49019551,-34.65015854,PEATON,PASAJEROS,97534.35415051,97682.40955825,LINIERS - MATADEROS - PARQUE AVELLANEDA,Friday
2018-0087,PEATON,MASCULINO,75,2018-08-20,61 -80,1,2018-08-15,15.0,19,AVENIDA,PAVON AV.,COLOMBRES,Commune 5,-58.41644362,-34.63023775,PEATON,PASAJEROS,104296.57153484,99891.67281595,ALMAGRO - BOEDO,Wednesday
2018-0088,CONDUCTOR,MASCULINO,0,2018-08-17,0 -24,1,2018-08-17,17.0,16,GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.",Commune 12,-58.5007381,-34.5497951,MOTO,CARGAS,96563.66494817,108815.73881056,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Friday
2018-0089,PEATON,MASCULINO,80,2018-08-17,80 -100,1,2018-08-17,17.0,17,AVENIDA,PICHINCHA AV.,BRASIL,Commune 4,-58.39626094,-34.63036565,PEATON,PASAJEROS,106147.25140863,99876.44981079,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0090,CONDUCTOR,MASCULINO,27,2018-08-18,25 -40,1,2018-08-18,18.0,10,AVENIDA,27 DE FEBRERO AV.,PERGAMINO,Commune 8,-58.43284809,-34.67051543,MOTO,AUTO,102791.00899168,95424.06973029,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Saturday
2018-0091,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2018-08-19,0 -24,1,2018-08-19,19.0,18,AUTOPISTA,AUTOPISTA PERITO MORENO,BARRAGAN,Commune 9,-58.52280139,-34.63659934,AUTO,AUTO,94544.313443,99185.28796442,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sunday
2018-0092,CONDUCTOR,MASCULINO,23,2018-08-20,0 -24,1,2018-08-20,20.0,8,AVENIDA,CORDOBA AV.,GASCON,Commune 14,-58.4233693,-34.59774487,MOTO,AUTO,103662.91363929,103496.49206019,PALERMO,Monday
2018-0093,PEATON,MASCULINO,24,2018-08-20,25 -40,1,2018-08-20,20.0,8,CALLE,15 DE NOVIEMBRE DE 1889,,Commune 1,-58.38691681,-34.63105973,PEATON,PASAJEROS,107004.02001368,99798.84856249,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Monday
2018-0094,CONDUCTOR,MASCULINO,32,2018-08-23,25 -40,1,2018-08-23,23.0,5,CALLE,"SALGUERO, JERONIMO",BERUTI,Commune 14,-58.4116902,-34.5857988,MOTO,PASAJEROS,104734.93787233,104821.22705013,PALERMO,Thursday
2018-0095,PASAJERO_ACOMPAÑANTE,FEMENINO,49,2018-08-26,41 -60,1,2018-08-26,26.0,0,AVENIDA,LACARRA AV.,"DELLEPIANE, LUIS, TTE. GRAL.",Commune 9,-58.46739825,-34.65117757,AUTO,AUTO,99624.29795829,97569.69801131,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sunday
2018-0096,PEATON,MASCULINO,39,2018-08-31,25 -40,1,2018-08-31,31.0,22,AUTOPISTA,AUTOPISTA PRESIDENTE HÑCTOR J. CÑMPORA,"ROCA, CNEL. AV.",Commune 8,-58.44483258,-34.67152226,PEATON,AUTO,101692.57924565,95312.63822646,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Friday
2018-0097,CONDUCTOR,FEMENINO,35,2018-09-02,25 -40,1,2018-09-02,2.0,10,AVENIDA,VARELA AV.,"RABANAL, FRANCISCO, INTENDENTE AV.",Commune 8,-58.43254025,-34.66128115,AUTO,OTRO,102819.52927414,96448.46140692,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2018-0098,CONDUCTOR,MASCULINO,55,2018-09-09,41 -60,2,2018-09-09,9.0,5,GRAL PAZ,"PAZ, GRAL. AV.",BERON DE ASTRADA,Commune 8,-58.47199387,-34.69640164,AUTO,AUTO,99203.46279192,92552.75548716,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2018-0098,PASAJERO_ACOMPAÑANTE,MASCULINO,54,2018-09-09,41 -60,2,2018-09-09,9.0,5,GRAL PAZ,"PAZ, GRAL. AV.",BERON DE ASTRADA,Commune 8,-58.47199387,-34.69640164,AUTO,AUTO,99203.46279192,92552.75548716,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Sunday
2018-0099,PEATON,MASCULINO,18,2018-09-13,0 -24,1,2018-09-12,12.0,14,AVENIDA,RIVADAVIA AV.,PEDERNERA,Commune 7,-58.46411215,-34.62925068,PEATON,PASAJEROS,99925.51296558,100002.14427355,FLORES - PARQUE CHACABUCO,Wednesday
2018-0100,SD,FEMENINO,33,2018-09-20,25 -40,1,2018-09-20,20.0,10,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",,Commune 1,-58.36217754,-34.62367156,MOTO,AUTO,109273.33013929,100616.46322293,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Thursday
2018-0101,CONDUCTOR,MASCULINO,0,2018-09-21,0 -24,1,2018-09-21,21.0,0,GRAL PAZ,"PAZ, GRAL. AV.",ZAPIOLA,Commune 12,-58.48098594,-34.5407313,AUTO,MULTIPLE,98376.44189669,109821.71138325,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Friday
2018-0102,CONDUCTOR,MASCULINO,20,2018-09-21,0 -24,1,2018-09-21,21.0,0,CALLE,FAMATINA,"TABORDA, DIOGENES",Commune 4,-58.41083404,-34.64640709,MOTO,AUTO,104810.02928662,98097.69340075,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0103,PEATON,MASCULINO,1,2018-09-29,0 -24,1,2018-09-27,27.0,17,AVENIDA,CASTAÑARES AV.,"BONORINO, ESTEBAN, CNEL. AV.",Commune 7,-58.44609828,-34.64446729,PEATON,MOTO,101577.07056955,98313.98170453,FLORES - PARQUE CHACABUCO,Thursday
2018-0104,CONDUCTOR,MASCULINO,22,2018-10-01,0 -24,1,2018-10-01,1.0,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SUAREZ AV.,Commune 4,-58.37709334,-34.64035082,MOTO,MOTO,107903.91828587,98767.43091425,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Monday
2018-0105,PEATON,FEMENINO,56,2018-10-03,41 -60,1,2018-10-03,3.0,18,AVENIDA,NAZCA AV.,RIVADAVIA AV.,Commune 7,-58.46963952,-34.63070603,PEATON,PASAJEROS,99418.67591727,99840.67619219,FLORES - PARQUE CHACABUCO,Wednesday
2018-0106,CONDUCTOR,MASCULINO,27,2018-10-04,25 -40,1,2018-10-04,4.0,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",ECHEVERRIA,Commune 13,-58.43674281,-34.55161027,MOTO,MOTO,102437.44187502,108614.72855724,BELGRANO - COLEGIALES - NUÃ‘EZ,Thursday
2018-0107,PEATON,FEMENINO,62,2018-10-06,61 -80,1,2018-10-06,6.0,14,AVENIDA,RIVADAVIA AV.,JUJUY AV.,Commune 3,-58.4059686,-34.61011987,PEATON,PASAJEROS,105258.35368554,102122.932314,BALVANERA - SAN CRISTOBAL,Saturday
2018-0108,CONDUCTOR,MASCULINO,37,2018-10-10,25 -40,1,2018-10-09,9.0,14,AVENIDA,DE LOS ITALIANOS AV.,"GUEMES, MACACHA",Commune 1,-58.36154069,-34.60463618,MOTO,AUTO,109333.85016626,102728.0677758,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Tuesday
2018-0109,PEATON,MASCULINO,34,2018-10-10,25 -40,1,2018-10-10,10.0,22,AVENIDA,TUCUMAN,"ALEM, LEANDRO N. AV.",Commune 1,-58.37062179,-34.60066507,PEATON,PASAJEROS,108501.28725227,103169.39367565,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2018-0110,PEATON,MASCULINO,60,2018-10-14,61 -80,1,2018-10-13,13.0,3,AVENIDA,CORRIENTES AV.,"GALLARDO, ANGEL AV.",Commune 15,-58.43220014,-34.60207186,PEATON,MOTO,102852.69197214,103016.76479974,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Saturday
2018-0111,CONDUCTOR,MASCULINO,28,2018-10-19,25 -40,1,2018-10-19,19.0,12,AUTOPISTA,AUTOPISTA PERITO MORENO,,Commune 9,-58.46958442,-34.64949724,MOTO,CARGAS,99423.87045126,97756.09331484,LINIERS - MATADEROS - PARQUE AVELLANEDA,Friday
2018-0112,CONDUCTOR,FEMENINO,28,2018-10-24,25 -40,1,2018-10-24,24.0,9,CALLE,MUÑECAS,SERRANO,Commune 15,-58.44671397,-34.59970903,MOTO,CARGAS,101521.4105861,103279.18839709,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Wednesday
2018-0113,CONDUCTOR,MASCULINO,20,2018-10-25,0 -24,1,2018-10-25,25.0,11,CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",TRES ARROYOS,Commune 11,-58.47152163,-34.61474911,MOTO,CARGAS,99245.93828707,101610.8222803,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Thursday
2018-0114,CONDUCTOR,MASCULINO,23,2018-10-30,0 -24,1,2018-10-30,30.0,2,AVENIDA,SOLIS,INDEPENDENCIA AV.,Commune 1,-58.39032921,-34.61807951,MOTO,AUTO,106692.15004353,101239.02351805,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Tuesday
2018-0115,PEATON,MASCULINO,42,2018-11-01,41 -60,1,2018-10-31,31.0,12,CALLE,"BOSCH, VENTURA","PAZ, GRAL. AV.",Commune 9,-58.52887773,-34.64297861,PEATON,PASAJEROS,93987.63954589,98477.26093452,LINIERS - MATADEROS - PARQUE AVELLANEDA,Wednesday
2018-0116,PEATON,MASCULINO,48,2018-11-08,41 -60,1,2018-11-01,1.0,10,GRAL PAZ,"PAZ, GRAL. AV.",,Commune 8,-58.49371157,-34.67981324,PEATON,CARGAS,97213.03214767,94392.58930391,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Thursday
2018-0117,CONDUCTOR,MASCULINO,30,2018-11-08,25 -40,1,2018-11-04,4.0,8,AVENIDA,"PERON, EVA AV.",,Commune 9,-58.48266599,-34.66012327,MOTO,MOTO,98224.84159668,96577.14272605,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sunday
2018-0118,PEATON,FEMENINO,80,2018-11-05,80 -100,1,2018-11-05,5.0,14,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",PUEYRREDON AV.,Commune 3,-58.40612253,-34.60774301,PEATON,MOTO,105244.38396064,102386.61371612,BALVANERA - SAN CRISTOBAL,Monday
2018-0119,PEATON,FEMENINO,32,2018-11-06,25 -40,1,2018-11-05,5.0,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAN PEDRITO,Commune 8,-58.43613623,-34.66292532,PEATON,SD,102489.86457298,96266.15892101,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Monday
2018-0120,PEATON,FEMENINO,51,2018-11-20,41 -60,1,2018-11-09,9.0,13,AVENIDA,MONROE,ALVAREZ THOMAS AV.,Commune 12,-58.48250732,-34.57208238,PEATON,AUTO,98237.46824855,106343.83342545,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Friday
2018-0121,PEATON,FEMENINO,72,2018-11-09,61 -80,1,2018-11-09,9.0,16,AVENIDA,RIVADAVIA AV.,MANZONI,Commune 10,-58.49945705,-34.6374328,PEATON,PASAJEROS,96684.78779898,99093.85665638,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Friday
2018-0122,CONDUCTOR,MASCULINO,33,2018-11-12,25 -40,1,2018-11-12,12.0,1,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,LARRAZABAL,Commune 8,-58.47743966,-34.67233407,AUTO,AUTO,98704.10681045,95222.6268952,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Monday
2018-0123,CONDUCTOR,MASCULINO,25,2018-11-12,25 -40,1,2018-11-12,12.0,3,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.",Commune 9,-58.5025179,-34.67450313,AUTO,SD,96405.76679348,94981.38013791,LINIERS - MATADEROS - PARQUE AVELLANEDA,Monday
2018-0124,CONDUCTOR,MASCULINO,44,2018-11-15,41 -60,1,2018-11-15,15.0,19,AUTOPISTA,AUTOPISTA PERITO MORENO,,Commune 9,-58.52144411,-34.63682499,CARGAS,CARGAS,94668.77734942,99160.32825286,LINIERS - MATADEROS - PARQUE AVELLANEDA,Thursday
2018-0125,PEATON,MASCULINO,29,2018-11-17,25 -40,1,2018-11-16,16.0,21,AVENIDA,SAENZ AV.,VENTANA,Commune 4,-58.41650465,-34.65084045,PEATON,PASAJEROS,104289.92773867,97606.13539657,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0126,CONDUCTOR,MASCULINO,27,2018-11-23,25 -40,1,2018-11-18,18.0,12,GRAL PAZ,"PAZ, GRAL. AV.","FALCON, RAMON L.,CNEL.",Commune 9,-58.52994219,-34.64055918,MOTO,AUTO,93889.86789861,98745.59348173,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sunday
2018-0127,CONDUCTOR,MASCULINO,29,2018-11-19,25 -40,1,2018-11-19,19.0,9,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CONSTITUYENTES AV.,Commune 12,-58.50993046,-34.56919739,MOTO,MOTO,95720.94836751,106663.03756022,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Monday
