Id,Role,Gender,Age,Date of death,Age range,Num victims,Date,Day,Hr,Street Tipe,Street,Croos,Commune,Pos X,Pos Y,Victim,Accused,X coordinate,Y coordinate,Neighborhoods,Weekday
2017-0147,CONDUCTOR,MASCULINO,49,2017-11-28,41 -60,1,2017-11-28,28.0,11,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.",Commune 9,-58.5025179,-34.67450313,MOTO,AUTO,96405.76679348,94981.38013791,LINIERS - MATADEROS - PARQUE AVELLANEDA,Tuesday
2017-0148,PEATON,FEMENINO,82,2017-11-29,80 -100,1,2017-11-29,29.0,10,AVENIDA,SAN JUAN AV.,LA RIOJA,Commune 3,-58.40708125,-34.62438894,PEATON,PASAJEROS,105155.42991407,100540.06938064,BALVANERA - SAN CRISTOBAL,Wednesday
2017-0149,PEATON,MASCULINO,13,2017-11-30,0 -24,1,2017-11-30,30.0,12,AVENIDA,PASEO COLON AV.,MEXICO,Commune 1,-58.36947198,-34.61477051,PEATON,PASAJEROS,108605.31247489,101604.5319553,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Thursday
2017-0150,PEATON,MASCULINO,56,2017-12-04,41 -60,1,2017-12-04,4.0,1,AVENIDA,RIVADAVIA AV.,MIRALLA,Commune 9,-58.51140889,-34.63934531,PEATON,AUTO,95589.03838155,98881.22999034,LINIERS - MATADEROS - PARQUE AVELLANEDA,Monday
2017-0151,PEATON,MASCULINO,0,2017-12-04,0 -24,1,2017-12-04,4.0,2,CALLE,VIEYTES,LUJAN,Commune 4,-58.37460912,-34.65559133,PEATON,PASAJEROS,108130.20782757,97076.54120716,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Monday
2017-0152,CICLISTA,MASCULINO,19,2017-12-06,0 -24,1,2017-12-06,6.0,17,CALLE,CACHI,TRAFUL,Commune 4,-58.41146277,-34.65073916,BICICLETA,PASAJEROS,104752.14395609,97617.1493454,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Wednesday
2017-0153,PASAJERO_ACOMPAÑANTE,MASCULINO,0,2017-12-12,0 -24,2,2017-12-11,11.0,2,AVENIDA,ROSARIO,LA PLATA AV.,Commune 6,-58.42855267,-34.61829385,MOTO,PASAJEROS,103186.65733155,101217.09689755,CABALLITO,Monday
2017-0153,CONDUCTOR,MASCULINO,30,2017-12-12,25 -40,2,2017-12-11,11.0,2,AVENIDA,ROSARIO,LA PLATA AV.,Commune 6,-58.42855267,-34.61829385,MOTO,PASAJEROS,103186.65733155,101217.09689755,CABALLITO,Monday
2017-0154,PEATON,MASCULINO,76,2017-12-11,61 -80,1,2017-12-11,11.0,9,AVENIDA,ENTRE RIOS AV.,CASEROS AV.,Commune 4,-58.39035581,-34.63412287,PEATON,PASAJEROS,106688.43418876,99459.27505947,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Monday
2017-0155,SD,MASCULINO,77,,61 -80,1,2017-12-12,12.0,21,AVENIDA,RIVADAVIA AV.,,Commune 7,-58.45593915,-34.62656868,SD,MOTO,100674.981092,100299.64949548,FLORES - PARQUE CHACABUCO,Tuesday
2017-0157,CONDUCTOR,MASCULINO,53,2017-12-17,41 -60,1,2017-12-17,17.0,9,GRAL PAZ,"PAZ, GRAL. AV.",HUMAITA,Commune 9,-58.52866211,-34.64597065,AUTO,PASAJEROS,94007.62506099,98145.35456663,LINIERS - MATADEROS - PARQUE AVELLANEDA,Sunday
2017-0158,CONDUCTOR,MASCULINO,32,2017-12-18,25 -40,1,2017-12-18,18.0,21,GRAL PAZ,GUALEGUAYCHU,"PAZ, GRAL. AV.",Commune 11,-58.52037476,-34.59407024,MOTO,AUTO,94764.11350214,103903.32150283,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Monday
2017-0159,CONDUCTOR,MASCULINO,27,2017-12-20,25 -40,1,2017-12-20,20.0,4,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY",Commune 1,-58.38896772,-34.61799615,MOTO,AUTO,106817.01972475,101248.18030272,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2017-0160,PEATON,FEMENINO,30,2017-12-22,25 -40,1,2017-12-22,22.0,13,AVENIDA,NAZCA AV.,,Commune 7,-58.47074114,-34.62771756,PEATON,MOTO,99317.63492514,100172.1911401,FLORES - PARQUE CHACABUCO,Friday
2017-0161,PEATON,FEMENINO,30,2017-12-26,25 -40,1,2017-12-26,26.0,15,AVENIDA,"PERON, EVA AV.",,Commune 9,-58.48200819,-34.65969965,PEATON,AUTO,98285.13000363,96624.14779705,LINIERS - MATADEROS - PARQUE AVELLANEDA,Tuesday
2018-0001,PEATON,MASCULINO,83,2018-01-02,80 -100,1,2018-01-01,1.0,22,AVENIDA,SAN JUAN AV.,RINCON,Commune 3,-58.39536773,-34.62297346,PEATON,MOTO,106229.70400707,100696.43939679,BALVANERA - SAN CRISTOBAL,Monday
2018-0002,CICLISTA,FEMENINO,26,2018-01-03,25 -40,1,2018-01-03,3.0,16,CALLE,PERU,,Commune 1,-58.37456088,-34.61895467,BICICLETA,PASAJEROS,108138.18410245,101140.7882135,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Wednesday
2018-0003,PEATON,FEMENINO,58,2018-01-05,41 -60,1,2018-01-05,5.0,10,AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",GALICIA,Commune 15,-58.44860217,-34.60395657,PEATON,MULTIPLE,101348.1397245,102808.02053976,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Friday
2018-0004,CONDUCTOR,MASCULINO,39,2018-01-09,25 -40,1,2018-01-09,9.0,9,AVENIDA,DEL LIBERTADOR AV.,MANZANARES,Commune 13,-58.46129513,-34.54332766,MOTO,MULTIPLE,100183.96103971,109533.84269558,BELGRANO - COLEGIALES - NUÃ‘EZ,Tuesday
2018-0005,PEATON,MASCULINO,54,2018-01-09,41 -60,1,2018-01-09,9.0,22,AVENIDA,PASEO COLON AV.,,Commune 1,-58.36907201,-34.61953517,PEATON,PASAJEROS,108641.50518777,101075.93727953,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Tuesday
2018-0006,CICLISTA,FEMENINO,45,2018-01-10,41 -60,1,2018-01-10,10.0,21,CALLE,VALLE,BARCO CENTENERA DEL,Commune 6,-58.44062219,-34.62499107,BICICLETA,PASAJEROS,102079.59903748,100474.45881577,CABALLITO,Wednesday
2018-0007,CONDUCTOR,MASCULINO,46,2018-01-11,41 -60,1,2018-01-11,11.0,2,AUTOPISTA,AUTOPISTA PERITO MORENO,,Commune 9,-58.52502765,-34.63601265,AUTO,AUTO,94340.14761734,99250.24722124,LINIERS - MATADEROS - PARQUE AVELLANEDA,Thursday
2018-0008,CONDUCTOR,FEMENINO,32,2018-01-12,25 -40,1,2018-01-12,12.0,17,AVENIDA,"HUERGO, ING. AV.",INDEPENDENCIA AV.,Commune 1,-58.36659655,-34.61687778,MOTO,CARGAS,108868.8074943,101370.51785663,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Friday
2018-0009,CONDUCTOR,MASCULINO,19,2018-01-14,0 -24,1,2018-01-14,14.0,2,AVENIDA,PILCOMAYO,"BROWN, ALTE. AV.",Commune 4,-58.36737389,-34.62763661,MOTO,MOTO,108796.38792642,100177.06810505,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Sunday
2018-0010,CONDUCTOR,MASCULINO,40,2018-01-18,41 -60,1,2018-01-18,18.0,5,CALLE,CERVANTES,"BELAUSTEGUI, LUIS, DR.",Commune 10,-58.49807953,-34.63038658,MOTO,CARGAS,96810.81688812,99875.56613013,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Thursday
2018-0011,PEATON,MASCULINO,84,2018-01-19,80 -100,1,2018-01-19,19.0,10,AVENIDA,CALLAO AV.,"LOPEZ, VICENTE",Commune 2,-58.39092703,-34.59088447,PEATON,PASAJEROS,106639.47032605,104255.89970551,RECOLETA,Friday
2018-0012,CONDUCTOR,MASCULINO,20,2018-01-26,0 -24,1,2018-01-26,26.0,13,CALLE,OLIDEN,"CHILAVERT, MARTINIANO, CORONEL",Commune 8,-58.46912006,-34.68049201,MOTO,PASAJEROS,99466.65991849,94317.70888094,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Friday
2018-0013,CONDUCTOR,MASCULINO,44,2018-01-28,41 -60,1,2018-01-28,28.0,8,AVENIDA,CONGRESO AV.,GALVAN,Commune 12,-58.48661286,-34.56786129,MOTO,AUTO,97860.62977748,106812.00802724,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Sunday
2018-0014,PEATON,MASCULINO,0,2018-02-04,0 -24,1,2018-01-31,31.0,20,AVENIDA,"MORENO, PERITO AV.",RIVERA INDARTE AV.,Commune 7,-58.44074927,-34.65080597,PEATON,MOTO,102067.32140821,97610.71255013,FLORES - PARQUE CHACABUCO,Wednesday
2018-0015,CONDUCTOR,MASCULINO,28,2018-02-06,25 -40,2,2018-02-06,6.0,1,AVENIDA,AUSTRALIA AV.,,Commune 4,-58.38636298,-34.64684275,MOTO,PASAJEROS,107053.47849253,98047.93724144,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Tuesday
2018-0015,PASAJERO_ACOMPAÑANTE,MASCULINO,19,2018-02-06,0 -24,2,2018-02-06,6.0,1,AVENIDA,AUSTRALIA AV.,,Commune 4,-58.38636298,-34.64684275,MOTO,PASAJEROS,107053.47849253,98047.93724144,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Tuesday
2018-0016,CONDUCTOR,MASCULINO,31,2018-02-15,25 -40,1,2018-02-15,15.0,10,AVENIDA,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.",Commune 1,-58.37533517,-34.59276462,MOTO,CARGAS,108069.68986814,104046.20018024,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Thursday
2018-0017,PEATON,MASCULINO,35,2018-02-20,25 -40,1,2018-02-17,17.0,4,AVENIDA,SAN PEDRITO AV.,RIVADAVIA AV.,Commune 7,-58.46963952,-34.63070603,PEATON,AUTO,99418.67591727,99840.67619219,FLORES - PARQUE CHACABUCO,Saturday
2018-0018,CONDUCTOR,MASCULINO,26,2018-02-17,25 -40,1,2018-02-17,17.0,7,CALLE,ISABEL LA CATOLICA,"SALVADORES, CNEL.",Commune 4,-58.37207554,-34.64543658,MOTO,CARGAS,108363.47256437,98202.84498754,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Saturday
2018-0019,PEATON,FEMENINO,80,2018-02-17,80 -100,1,2018-02-17,17.0,12,AVENIDA,LAS HERAS GENERAL AV.,CALLAO AV.,Commune 2,-58.39189441,-34.59176378,PEATON,PASAJEROS,106550.65433457,104158.41702434,RECOLETA,Saturday
2018-0020,CONDUCTOR,MASCULINO,26,2018-02-19,25 -40,1,2018-02-19,19.0,22,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,,Commune 8,-58.45012957,-34.66518343,MOTO,CARGAS,101207.19032483,96015.90575056,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Monday
2018-0021,PEATON,FEMENINO,62,2018-02-22,61 -80,1,2018-02-22,22.0,10,AVENIDA,"ALCORTA, AMANCIO AV.",ZAVALETA,Commune 4,-58.40184094,-34.64546845,PEATON,PASAJEROS,105634.57202683,98201.36000813,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Thursday
2018-0022,CONDUCTOR,MASCULINO,28,2018-02-24,25 -40,1,2018-02-24,24.0,0,AVENIDA,"MONTES DE OCA, MANUEL AV.",OLAVARRIA,Commune 4,-58.37441153,-34.63966783,MOTO,CARGAS,108149.86840397,98842.98534187,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Saturday
2018-0023,CONDUCTOR,MASCULINO,28,2018-02-24,25 -40,1,2018-02-24,24.0,6,CALLE,BARCO CENTENERA DEL,ROSARIO,Commune 6,-58.44110156,-34.62082399,MOTO,AUTO,102035.73876399,100936.73706899,CABALLITO,Saturday
2018-0024,PEATON,MASCULINO,70,2018-02-28,61 -80,1,2018-02-28,28.0,23,AVENIDA,ALVAREZ THOMAS AV.,DONADO,Commune 15,-58.47087351,-34.57827342,PEATON,CARGAS,99305.05235104,105657.19134383,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Wednesday
2018-0025,PEATON,MASCULINO,70,2018-03-05,61 -80,1,2018-03-04,4.0,22,AVENIDA,AVELLANEDA AV.,BOYACA AV.,Commune 7,-58.4596221,-34.6224514,PEATON,AUTO,100337.26455822,100756.41076314,FLORES - PARQUE CHACABUCO,Sunday
2018-0026,CONDUCTOR,MASCULINO,24,2018-03-09,25 -40,2,2018-03-09,9.0,4,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAENZ AV.,Commune 4,-58.41657793,-34.65476216,MOVIL,CARGAS,104283.01090451,97171.08656182,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0026,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2018-03-09,25 -40,2,2018-03-09,9.0,4,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAENZ AV.,Commune 4,-58.41657793,-34.65476216,MOVIL,CARGAS,104283.01090451,97171.08656182,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
